,questions,answers,correct_answers
70,What is the award that the performer of song Sunday Papers earned?,"The context does not provide specific information about any awards earned by the performer of ""Sunday Papers,"" Joe Jackson.",Grammy
71,"Which film has the director born first, Antonieta or Dodging The Dole?",Dodging The Dole.,Dodging The Dole
72,Are both Nikolsk Airport and Svobodny Airport located in the same country?,No.,yes
73,"Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?","Amadeus VI, Count of Savoy.",Peter I
74,"Are both businesses, Telus and Ztr Control Systems, located in the same country?",No.,yes
75,"Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?",No.,yes
76,"Who is older, Dyson Parody or Gene Watson?",Gene Watson.,Gene Watson
77,Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?,No.,yes
78,When did Prince John Konstantinovich Of Russia's mother die?,24 March 1927.,24 March 1927
79,Which country Audofleda's husband is from?,Ostrogothic Kingdom (Italy).,Ostrogothic Kingdom
80,What is the place of birth of the director of film Letter To The King?,Not specified.,Kurdish
81,"Are both bands, Snowman (Band) and Jessamine (Band), from the same country?",No.,no
82,Where was the performer of song God (John Lennon Song) born?,Liverpool.,Liverpool
83,"Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?",Relax Freddie.,Captain Kidd And The Slave Girl
84,"Which song was released more recently, Go Ahead And Break My Heart or Knee Deep In My Heart?",Go Ahead And Break My Heart.,Go Ahead And Break My Heart
85,"Which film has the director who died later, The Fatal Mistake or The Devil'S Hairpin?",The Fatal Mistake.,The Devil'S Hairpin
86,Who is Maria Luisa Of Savoy's father-in-law?,Philip V of Spain.,"Louis, Grand Dauphin"
87,Who is the paternal grandfather of Kujō Yoritsugu?,The context does not provide information about the paternal grandfather of Kujō Yoritsugu.,Kujō Michiie
88,What is the place of birth of the director of film Marianela (1940 Film)?,Madrid.,Madrid
89,"Which film came out first, Repeated Absences or She Wore A Yellow Ribbon?",Fort Apache.,She Wore A Yellow Ribbon
90,"Who lived longer, Edward Dearle or Michael Doeberl?",Edward Dearle.,Edward Dearle
91,Where does Karin Stoltenberg's husband work at?,The context does not provide information about where Karin Stoltenberg's husband works.,United Nations
92,Where was the director of film Lettre Ouverte born?,"Alexandria, Egypt.",Paris
93,"Who is William Ii, Count Of Flanders's paternal grandmother?","Richilde, Countess of Mons and Hainaut.",Mathilde of Bourbon
94,What is the place of birth of Clara Novello's father?,"Cosenza, Italy.",London
95,"Which film came out earlier, Emmy Of Stork'S Nest or Indira Vizha?",Emmy Of Stork'S Nest.,Emmy Of Stork'S Nest
96,"Which film came out first, Celine: Through The Eyes Of The World or Dilan 1991?",Celine: Through The Eyes Of The World.,Celine: Through The Eyes Of The World
97,"Who was born earlier, Silas Hardy or Lee Mantle?",Silas Hardy was born earlier.,Lee Mantle
98,"Where was the place of burial of Albert Frederick, Duke Of Prussia's mother?",Königsberg.,Königsberg
99,Where was the place of death of Juan Carlos Gumucio's wife?,The context does not provide information about the place of death of Juan Carlos Gumucio's wife.,Homs
100,Who is the father of the director of film Gramps Is In The Resistance?,Alain Poiré.,Alain Poiré
101,What is the place of birth of the performer of song Heaven (Namie Amuro Song)?,"Naha, Okinawa, Japan.","Naha, Okinawa"
102,What nationality is Philip Of Ibelin (1180–1227)'s mother?,Greek.,Byzantine
103,"Who was born later, Joseph J. Magliocco or Viktoriya Zeynep Güneş?",Joseph J. Magliocco.,Viktoriya Zeynep Güneş
104,When is the lead guitarist of List Of The Dillinger Escape Plan Band Members's birthday?,"August 8, 1975.","August 8, 1975"
105,Where does Huma Abedin's husband work at?,The context does not provide information about Huma Abedin's husband or where he works.,Chuck Schumer
106,"Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?",Yes.,no
107,"Which film came out earlier, Out Of The Rain or Les Résultats Du Féminisme?",Out Of The Rain.,Les Résultats Du Féminisme
108,Where did Giacomo Feo's wife die?,Forlì.,Florence
109,What is the place of birth of the director of film Swedenhielms?,Helsingfors (now Helsinki).,Helsingfors
110,Which country Jan Baptist Van Rensselaer's father is from?,Belgium.,Dutch
111,"Which film was released earlier, Sathyavan Savithri or Kids Of The Round Table?",Sathyavan Savithri.,Kids Of The Round Table
112,Where did Gigi Causey's husband graduate from?,The context does not provide information about where Gigi Causey's husband graduated from.,Tisch
113,What nationality is Geodeung Of Geumgwan Gaya's mother?,Indian.,India
114,"Which film was released earlier, Xenoa or Divorce Invitation?",Divorce Invitation.,Xenoa
115,What is the cause of death of Alex Matthiessen's father?,The cause of death of Alex Matthiessen's father is not provided in the context.,leukemia
116,What is the place of birth of Remigius Of Rouen's father?,Herstal.,Herstal
117,When did Lord Patrick Crichton-Stuart's father die?,six months before he was born.,22 January 1794
118,"Which film has the director who was born earlier, It'S A Joke, Son! or The Thirty Nine Steps (1978 Film)?",The Thirty Nine Steps (1978 Film).,"It'S A Joke, Son!"
119,Are both directors of films The Slayer (Film) and Moscow Heat from the same country?,No.,yes
120,"Which school was established first, Whitehorse Manor Junior School or Sabawoon Rehabilitation Centre?",Whitehorse Manor Junior School.,Sabawoon Rehabilitation Centre
121,Are Little Sachigo Lake and Holden Lake located in the same country?,Yes.,yes
122,Who is Henriette Of France (1727–1752)'s maternal grandfather?,King Stanisław I of Poland.,Stanisław Leszczyński
123,"Which film has the director born first, Leave It To Henry or The Last Night Of Scheherazade?",The Last Night Of Scheherazade.,Leave It To Henry
124,"What is the date of death of Gero Ii, Margrave Of The Saxon Ostmark's father?",3 August 979.,3 August 979
125,"Are Tomskoye, Amur Oblast and Pleshkovo located in the same country?",Yes.,yes
126,"Which film came out earlier, I Am Breathing or Ulti Ganga?",Ulti Ganga.,Ulti Ganga
127,"Who was born later, Levon Julfalakyan or Charlotte Spurkeland?",Charlotte Spurkeland.,Charlotte Spurkeland
128,Who is the father of the director of film Red 2 (Film)?,Aldo Parisot.,Aldo Parisot
129,When was the company that published American Scientist founded?,1913.,1886
130,What is the place of birth of Jo Planckaert's father?,Nevele.,Nevele
131,What is the place of birth of Gwilym Lloyd George's father?,Manchester.,Manchester
132,"What is the place of birth of James Douglas, 3Rd Earl Of Angus's father?",Tantallon Castle.,Tantallon Castle
133,What nationality is the director of film They Call It Love?,American.,American
134,What is the place of birth of Zhanna Nemtsova's father?,Russia.,Sochi
135,"Which film has the director born earlier, Santa Fe Uprising or Trainer And Temptress?",Santa Fe Uprising.,Trainer And Temptress
136,"Which film has the director who was born earlier, Adam'S Rib or Thendral Veesum?",Adam's Rib.,Adam'S Rib
137,"Which country the composer of film Continental, A Film Without Guns is from?",United States.,French
138,Where was the director of film Age-Old Friends born?,"Winnipeg, Manitoba.","Winnipeg, Manitoba"
139,"Which one was established first, Noerr or Korn Ferry?",Korn Ferry.,Noerr
140,Where was the father of Eleonora Di Garzia Di Toledo born?,Spain.,Villafranca del Bierzo
141,What is the award that the director of film The Last Night Of The Barbary Coast got?,Jean Hersholt Humanitarian Award.,Jean Hersholt Humanitarian Award
142,"Who is Prince Nicolas, Duke Of Ångermanland's mother?",Princess Madeleine.,"Princess Madeleine, Duchess of Hälsingland and Gästrikland"
143,Who is the paternal grandmother of Princess Augusta Of Waldeck-Pyrmont?,Caroline Louise of Waldeck and Pyrmont.,Princess Augusta of Schwarzburg-Sondershausen
144,Where does the director of film The Marquise Of O (Film) work at?,Cahiers du cinéma.,Cahiers du cinéma
145,"Which film whose director is younger, Joe Palooka In Fighting Mad or Figaro-Ci, Figaro-Là?","Figaro-ci, Figaro-là.","Figaro-Ci, Figaro-Là"
146,"Which film was released first, Ekam – Son Of Soil or Farber'S Nerve?",Ekam – Son Of Soil.,Farber'S Nerve
147,Which country Mohammed Al-Modiahki's wife is from?,China.,China
148,Do both films: Gammat Jammat and Ready (2011 Film) have the directors from the same country?,No.,yes
149,Who is Philip Of Sicily's father?,Charles I of Naples.,Charles I of Naples
150,"Who was born later, Gideon Johnson Pillow or Holm Jølsen?",Gideon Johnson Pillow.,Holm Jølsen
151,"Which film has the director who died first, The Crime Doctor'S Courage or Vasantha Sena (1967 Film)?",Vasantha Sena (1967 Film).,The Crime Doctor'S Courage
152,"Where did the director of film My Heidelberg, I Can Not Forget You die?","The context does not provide information about the death of the director of ""My Heidelberg, I Can Not Forget You.""",Argentina
153,"Which film was released earlier, Tiger Of The Seven Seas or My Wife'S Lodger?",My Wife's Lodger.,My Wife'S Lodger
154,Do Alice Mary Dowd and Richard N. Palmer have the same nationality?,No.,yes
155,Who is the father of the director of film Wonders Of The Sea 3D?,Peter Hamel.,Jacques Cousteau
156,"Which film has the director died first, Le Guignolo or Knights Of The Range?",Le Guignolo.,Knights Of The Range
157,"Who died later, Narcís Ventalló or H. Verlan Andersen?",H. Verlan Andersen.,Narcís Ventalló
158,"Which film was released first, The Beginning Or The End or Hold Back The Night?",The Beginning Or The End.,The Beginning Or The End
159,"Who is younger, Aneta Hladíková or René Poupardin?",Aneta Hladíková.,Aneta Hladíková
160,Where was the place of death of Prince Christopher Of Greece And Denmark's father?,Greece.,Thessaloniki
161,What is the place of birth of the director of film Guilty Of Treason?,Fredrikstad.,New York
162,"Where did Charles Stewart, 3Rd Duke Of Richmond's father graduate from?","Collège de Navarre, part of the University of Paris.",University of Paris
163,What is the place of birth of the performer of song I Wish (Gabrielle Song)?,"Hackney, London.",Hackney
164,When was the director of film Jinpa born?,December 1969.,1969
165,"Which film whose director is younger, Kalippava or A Couch In New York?",Kalippava.,A Couch In New York
166,"Which film has the director who died earlier, The Love Charm or The Constant Woman?",The Love Charm.,The Constant Woman
167,"Which film came out earlier, Dis-Moi Qui Tuer or Under The Hawthorn Tree (Film)?",Dis-Moi Qui Tuer.,Dis-Moi Qui Tuer
168,Where was the place of death of Tamatoa Vi's father?,Tahitian island of Huahiné.,Huahine
169,Where did the director of film Old Man Drinking A Glass Of Beer die?,"The context does not provide information about the death of the director of ""Old Man Drinking A Glass Of Beer.""",Brighton
170,"What is the date of death of Henry St John, 18Th Baron St John Of Bletso's father?",1912.,10 May 1912
171,"Who is younger, Justin Paul or Helly Shah?",Helly Shah.,Helly Shah
172,Who was born first out of Marco De Luigi and Fabio Maistro?,Marco De Luigi.,Marco De Luigi
173,"Which film has the director who died earlier, Guns And Guitars or To The Victor?",Guns And Guitars.,Guns And Guitars
174,"Which film has the director who died later, His Last Haul or The Falcon In San Francisco?",The Falcon In San Francisco.,The Falcon In San Francisco
175,"Who is Edward De Vere, 17Th Earl Of Oxford's paternal grandfather?","John de Vere, 15th Earl of Oxford.","John de Vere, 15th Earl of Oxford"
176,Where was the place of death of Alexander Carl Otto Westphal's father?,Berlin.,Kreuzlingen
177,"Which film has the director born earlier, Jayam Manade or Bulldog Drummond'S Revenge?",Bulldog Drummond'S Revenge.,Bulldog Drummond'S Revenge
178,"Which film has the director who is older, The Gamecock (Film) or Monster A Go-Go?",The Gamecock (Film).,Monster A Go-Go
179,Where was the place of death of Alessandro Vitelli's father?,Parma.,Florence
180,Where was the performer of song Bag Skyerne born?,Århus.,Århus
181,Are both directors of films 16 To Life and Saved By The Belles from the same country?,No.,yes
182,Where was the mother of Francis Ii Of France born?,Italy.,Florence
183,"Who was born later, Marc De Clerck or Wiesław Perszke?",Marc De Clerck.,Wiesław Perszke
184,"Which film has the director born later, Jesse James' Women or Ride Lonesome?",Ride Lonesome.,Ride Lonesome
185,What nationality is the director of film Madeleine (1950 Film)?,Israeli.,British
186,"Which film has the director died first, Edge Of Doom or A Mother'S Secret?",Edge Of Doom.,A Mother'S Secret
187,"Which song was released earlier, 1990-Sick (Get 'Em All) or Who'S Laughing Now (Song)?",1990-Sick (Get 'Em All).,1990-Sick (Get 'Em All)
188,Where did the director of film Desolation Angels (1995 Film) graduate from?,State University of New York at Purchase.,State University of New York at Purchase
189,"When did Richard Annesley, 2Nd Earl Annesley's father die?",[Final Answer]: Unable to provide an answer with the given context.,2 September 1770
190,"Which film has the director died earlier, Lemonade Joe or Bountiful Summer?",Lemonade Joe.,Bountiful Summer
191,"What is the date of death of Conan Ii, Duke Of Brittany's mother?",1256.,1080
192,When was the director of film Reykjavík-Rotterdam born?,30 June 1963.,30 June 1963
193,What is the place of birth of Eiludd Powys's father?,The context does not provide specific information about the place of birth of Eiludd Powys's father.,Wales
194,Where was the director of film At The End Of The Tunnel born?,Argentina.,Rosario
195,When was Ferdinand Iii Of Limburg Stirum's father born?,1756.,1701
196,Which country the director of film Ulzhan is from?,Not specified in the context.,German
197,Who is Prince Franz De Paula Of Liechtenstein's paternal grandfather?,Prince Franz de Paula of Liechtenstein.,Franz Joseph I
198,What is the place of birth of Samir Rifai's father?,"Amman, Jordan.",Amman
199,Who is the paternal grandmother of Archduchess Dolores Of Austria?,Princess Maria Immaculata of Bourbon-Two Sicilies.,Princess Maria Immaculata of Bourbon-Two Sicilies
200,"Which film has the director died first, Two For Tonight or Light Over Russia?",Two For Tonight.,Two For Tonight
201,What is the place of birth of the director of film Peter'S Friends?,Belfast.,Belfast
202,Where was the composer of film Love Story 1999 born?,Not specified in the context.,Tamil
203,"Who is the father of Beltrán Vélez De Guevara, Marquis Of Campo Real?",Íñigo Vélez de Guevara.,"Íñigo Vélez de Guevara, 7th Count of Oñate"
204,"Which film whose director is younger, Jeedar or The Rebel Set?",Jeedar.,Jeedar
205,Where was the mother of Antonio Flores born?,Jerez de la Frontera.,Jerez de la Frontera
206,What is the place of birth of the performer of song Down Ass Bitch?,"Hollis, Queens.",Queens
207,What is the place of birth of Empress Xu (Ming Dynasty)'s husband?,Not specified in the context.,Nanjing
208,"Which film came out earlier, Niyoti or Angali Pangali?",Angali Pangali.,Niyoti
209,Which country Aleksandra Marianna Wiesiołowska's father is from?,Poland.,Polish–Lithuanian Commonwealth
210,Which country Tivala's father is from?,India.,Maurya dynasty
211,Who is the paternal grandmother of King Kang Of Zhou?,Queen Yi Jiang.,Yi Jiang
212,"Which film has the director who died first, The Face Of Fu Manchu or The Hidden One?",The Face Of Fu Manchu.,The Hidden One
213,What is the place of birth of the director of film Double Or Nothing (1940 Film)?,Not specified in the context.,"New Brunswick, New Jersey"
214,"Which film whose director was born first, The Great Flamarion or The Hollars?",The Great Flamarion.,The Great Flamarion
215,Do both directors of films Dangerous To Know and Les Côtelettes have the same nationality?,No.,yes
216,"Are both villages, Mavrolithari and Ampelakia, Evros, located in the same country?",Yes.,yes
217,Where was the place of death of the director of film Kathputli (1971 Film)?,The context does not provide information about the place of death of the director of the film Kathputli (1971 Film).,Bombay
218,Where did the director of film Ręce Do Góry study?,The context does not provide information about where the director of the film Ręce Do Góry studied.,National Film School in Łódź
219,Where was the place of death of Suzanne Farrington's mother?,The context does not provide information about the place of death of Suzanne Farrington's mother.,London
220,What nationality is the director of film Name The Man?,Swedish.,Swedish
221,Do Kreesha Turner and Samantha Jo share the same nationality?,Yes.,yes
222,What is the place of birth of the director of film Aurora (2018 Film)?,Allahabad.,Davao
223,"Which film has the director born later, Befikre or American Sniper?",Befikre.,Befikre
224,When is Prince Napoléon Bonaparte's father's birthday?,15 November 1784.,15 November 1784
225,"Which film was released more recently, Toolbox Murders or I Met You In Naples?",Toolbox Murders.,Toolbox Murders
226,Where was the place of death of the composer of song How Long Has This Been Going On??,New York City.,Hollywood
227,"Which film has the director died earlier, Youngblood Hawke (Film) or Crook'S Tour?",Crook's Tour.,Crook'S Tour
228,Where did William S. Burroughs Jr.'s father study?,The context does not provide information about where William S. Burroughs Jr.'s father studied.,Harvard
229,"Which film has the director who was born earlier, Circus Beely or Tom, Dick And Harry 2?",Circus Beely.,Circus Beely
230,Who is the maternal grandmother of Felipe De Marichalar Y Borbón?,The context does not provide information about Felipe De Marichalar Y Borbón's maternal grandmother.,Queen Sofía of Spain
231,Are the directors of both films The Fall Of A Saint and Fighting Through from the same country?,No.,no
232,Which country Natalie Portman's husband is from?,English.,French
233,Who is the father-in-law of Tsandzile Ndwandwe?,Zwide kaLanga.,Ndvungunye
234,"Which film has the director born earlier, Mister Scarface or Waking Sleeping Beauty?",Mister Scarface.,Mister Scarface
235,What is the place of birth of the performer of song Hunter (Björk Song)?,"The context does not provide information about the performer of the song ""Hunter"" by Björk.",Reykjavík
236,"Who is the paternal grandfather of Richard Beauchamp, 1St Earl Of Worcester?","William de Beauchamp, 1st Baron Bergavenny.",Thomas de Beauchamp
237,Who is the spouse of the director of film Carol'S Journey?,María Barranco.,María Barranco
238,"Which film has the director born later, Diary Of A Maniac or Return Of The Hero?",Return Of The Hero.,Return Of The Hero
239,"Where was the father of Augustus William, Duke Of Brunswick-Bevern born?",Wolfenbüttel.,Osterholz
240,Who is the mother-in-law of Lollia Paulina?,Agrippina the Elder.,Agrippina the Elder
241,"Which film was released more recently, Gaza Ghetto or Kull The Conqueror?",Gaza Ghetto.,Kull The Conqueror
242,"Who was born earlier, Raúl Osorio or James B. Harris?",James B. Harris.,James B. Harris
243,When was the company that published Woman'S Century founded?,The context does not provide information about the founding date of Woman's Century.,"October 27, 1893"
244,"Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",Frances Manners.,Lady Frances Manners
245,"Which film has the director who died earlier, Deuce High or The King Is The Best Mayor?",The King Is The Best Mayor.,The King Is The Best Mayor
246,"Which film was released earlier, Premium (Film) or Week-End With Father?",Week-End With Father.,Week-End With Father
247,What nationality is Gevherhan Sultan (Daughter Of Selim Ii)'s father?,Ottoman.,Ottoman Empire
248,Are both Țerova and Slava (River) located in the same country?,Yes.,yes
249,Are Graduate University Of Advanced Technology and Fruita Schoolhouse located in the same country?,No.,no
250,Who is the paternal grandmother of Prince William Of Hesse-Kassel?,Sophie Charlotte of Hesse-Kassel.,Princess Mary of Great Britain
251,Where did the presenter of Tim Russert (Talk Show) die?,Washington.,Washington
252,"Which film has the director who died earlier, 11 Harrowhouse or A Little Sister Of Everybody?",11 Harrowhouse.,A Little Sister Of Everybody
253,What is the place of birth of the director of film The Last Horror Movie?,Not specified in the context.,Newport
254,"Which film has the director who is older, The Woman In The Fifth or End Of Winter?",The Woman In The Fifth.,The Woman In The Fifth
255,"Which film has the director who is older, The Girl King or Happy As The Grass Was Green?",The Girl King.,Happy As The Grass Was Green
256,"Who is George Fitzroy, 1St Duke Of Northumberland's stepmother?","Barbara Villiers, Countess of Castlemaine.",Catherine of Braganza
257,Where does the director of film Ghost In The Machine (Film) work at?,University of British Columbia.,University of British Columbia
258,"Are Elsah, Illinois and Chah-E Puzeh, Tabas both located in the same country?",No.,no
259,"Who is the paternal grandmother of Louis, Count Of Verdun?",Sophie.,Gerberge of Lorraine
260,What nationality is Anne Of Burgundy's father?,French.,France
261,"Which film has the director who was born later, All The Gold In The World or The Crowning Touch?",The Crowning Touch.,The Crowning Touch
262,"Who lived longer, Csaba Pálinkás or Henry Scheffé?",Henry Scheffé.,Henry Scheffé
263,"Which film was released more recently, Pirates Of The Prairie or Alien Origin?",Pirates of the Somalia.,Alien Origin
264,Who is the mother of Edward I Of England?,Eleanor of Provence.,Eleanor of Provence
265,"What is the date of death of Joan, Countess Of Blois's mother?",8 March 1137.,2 August 1288
266,"Which album came out first, Issa Album or 3.2.1.?",Issa Album.,3.2.1.
267,Who is Sancho Ramírez's maternal grandfather?,Sancho III of Pamplona.,"Bernard-Roger, Count of Bigorre"
268,"Which film was released earlier, New Jersey Drive or It Happened At The World'S Fair?",It Happened At The World's Fair.,It Happened At The World'S Fair
269,Who is the spouse of the performer of song Lolita (Leah Labelle Song)?,Rasual Butler.,Rasual Butler
270,Do director of film Winter Meeting and director of film Year Of The Horse have the same nationality?,No.,no
271,Where does Chris Warren (Rugby League)'s father work at?,The context does not provide information about Chris Warren's father's workplace.,Nine Network
272,Where did Davey Boy Smith Jr.'s mother study?,The context does not provide information about where Davey Boy Smith Jr.'s mother studied.,Stampede Wrestling
273,"Which country Thomas Lyon-Bowes, Lord Glamis's father is from?",Scotland.,British
274,What nationality is the performer of song Adore You (Jessie Ware Song)?,English.,United Kingdom
275,"Which film whose director is younger, Dallas 362 or Revenge Of The Barbarians?",Dallas 362.,Dallas 362
276,"Which film has the director born earlier, Spring Storms or Fun In The Barracks?",Spring Storms.,Fun In The Barracks
277,Where was the father of Andrew Balding born?,[Final Answer]: Unable to provide an answer with the given context.,US
278,"Which film was released earlier, Anna-Liisa or Children Underground?",Anna-Liisa.,Anna-Liisa
279,Are Arnold Palmer Regional Airport and Luis Muñoz Marín International Airport located in the same country?,No.,yes
280,Which award the composer of film Pataakha won?,Filmfare RD Burman Award for New Music Talent.,National Film Award for Best Music Direction
